Block 830: res=8c, exp=8c
Block 831: res=90, exp=90
Block 832: res=93, exp=93
Block 833: res=92, exp=92
Block 834: res=93, exp=93
Block 835: res=92, exp=92
Block 836: res=93, exp=93
Block 837: res=94, exp=94
Block 838: res=93, exp=93
Block 839: res=92, exp=92
Block 840: res=93, exp=93
Block 841: res=94, exp=94
Block 842: res=94, exp=94
Block 843: res=93, exp=93
Block 844: res=91, exp=91
Block 845: res=92, exp=92
Block 846: res=95, exp=95
Block 847: res=94, exp=94
Block 848: res=94, exp=94
Block 849: res=96, exp=96
Block 850: res=97, exp=97
Block 851: res=97, exp=97
Block 852: res=97, exp=97
Block 853: res=96, exp=96
Block 854: res=97, exp=97
Block 855: res=97, exp=97
Block 856: res=96, exp=96
Block 857: res=95, exp=95
Block 858: res=95, exp=95
Block 859: res=94, exp=94
Block 860: res=93, exp=93
Block 861: res=95, exp=95
Block 862: res=93, exp=93
Block 863: res=94, exp=94
Block 864: res=96, exp=96
Block 865: res=96, exp=96
Block 866: res=96, exp=96
Block 867: res=95, exp=95
Block 868: res=96, exp=96
Block 869: res=96, exp=96
Block 870: res=95, exp=95
Block 871: res=95, exp=95
Block 872: res=97, exp=97
Block 873: res=96, exp=96
Block 874: res=97, exp=97
Block 875: res=94, exp=94
Block 876: res=93, exp=93
Block 877: res=91, exp=91
Block 878: res=92, exp=92
Block 879: res=91, exp=91
Block 880: res=93, exp=93
Block 881: res=97, exp=97
Block 882: res=97, exp=97
Block 883: res=93, exp=93
Block 884: res=92, exp=92
Block 885: res=90, exp=90
Block 886: res=93, exp=93
Block 887: res=94, exp=94
Block 888: res=95, exp=95
Block 889: res=95, exp=95
Block 890: res=96, exp=96
Block 891: res=94, exp=94
Block 892: res=93, exp=93
Block 893: res=92, exp=92
Block 894: res=95, exp=95
Block 895: res=95, exp=95
Block 896: res=96, exp=96
Block 897: res=96, exp=96
Block 898: res=94, exp=94
Block 899: res=91, exp=91
Block 900: res=91, exp=91
Block 901: res=90, exp=90
Block 902: res=92, exp=92
Block 903: res=93, exp=93
Block 904: res=90, exp=90
Block 905: res=91, exp=91
Block 906: res=90, exp=90
Block 907: res=91, exp=91
Block 908: res=8e, exp=8e
Block 909: res=8f, exp=8f
Block 910: res=92, exp=92
Block 911: res=92, exp=92
Block 912: res=91, exp=91
Block 913: res=92, exp=92
Block 914: res=91, exp=91
Block 915: res=90, exp=90
Block 916: res=91, exp=91
Block 917: res=90, exp=90
Block 918: res=8f, exp=8f
Block 919: res=8c, exp=8c
Block 920: res=8c, exp=8c
Block 921: res=89, exp=89
Block 922: res=89, exp=89
Block 923: res=86, exp=86
Block 924: res=81, exp=81
Block 925: res=7e, exp=7e
Block 926: res=7b, exp=7b
Block 927: res=78, exp=78
Block 928: res=77, exp=77
Block 929: res=84, exp=84
Block 930: res=8c, exp=8c
Block 931: res=95, exp=95
Block 932: res=9f, exp=9f
Block 933: res=a5, exp=a5
Block 934: res=aa, exp=aa
Block 935: res=ae, exp=ae
Block 936: res=b1, exp=b1
Block 937: res=b4, exp=b4
Block 938: res=b4, exp=b4
Block 939: res=b1, exp=b1
Block 940: res=ae, exp=ae
